category_number,drxfcsd,parent,level,max_level_by_num,max_level_skips,ancestors,branch
11480010,"YOGURT, WHOLE MILK, BABY FOOD",11480000,5,5,5,"11480000,11400000,19000000,1,0","11480000,11400000,19000000,1,0,11480010"
11480020,"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER",11480000,5,5,5,"11480000,11400000,19000000,1,0","11480000,11400000,19000000,1,0,11480020"
11480030,"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER",11480000,5,5,5,"11480000,11400000,19000000,1,0","11480000,11400000,19000000,1,0,11480030"
11480040,"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER",11480000,5,5,5,"11480000,11400000,19000000,1,0","11480000,11400000,19000000,1,0,11480040"
25110120,"BEEF LIVER, BRAISED",25110000,5,5,5,"25110000,25100000,25000000,2,0","25110000,25100000,25000000,2,0,25110120"
25110140,"BEEF LIVER, FRIED",25110000,5,5,5,"25110000,25100000,25000000,2,0","25110000,25100000,25000000,2,0,25110140"
25110420,"CHICKEN LIVER, BRAISED",25110000,5,5,5,"25110000,25100000,25000000,2,0","25110000,25100000,25000000,2,0,25110420"
25110450,"CHICKEN LIVER, FRIED",25110000,5,5,5,"25110000,25100000,25000000,2,0","25110000,25100000,25000000,2,0,25110450"
25112200,"LIVER PASTE OR PATE, CHICKEN",25110000,5,5,5,"25110000,25100000,25000000,2,0","25110000,25100000,25000000,2,0,25112200"
25140110,"SWEETBREADS, COOKED",25140000,5,5,5,"25140000,25100000,25000000,2,0","25140000,25100000,25000000,2,0,25140110"
25160110,"TONGUE, SMOKED, CURED, OR PICKLED, COOKED",25160000,5,5,5,"25160000,25100000,25000000,2,0","25160000,25100000,25000000,2,0,25160110"
25160130,"TONGUE POT ROAST, PUERTO RICAN STYLE",25160000,5,5,5,"25160000,25100000,25000000,2,0","25160000,25100000,25000000,2,0,25160130"
25170110,"TRIPE, COOKED",25170000,5,5,5,"25170000,25100000,25000000,2,0","25170000,25100000,25000000,2,0,25170110"
25170210,"CHITTERLINGS, COOKED",25170000,5,5,5,"25170000,25100000,25000000,2,0","25170000,25100000,25000000,2,0,25170210"
25170310,"HOG MAWS, COOKED",25170000,5,5,5,"25170000,25100000,25000000,2,0","25170000,25100000,25000000,2,0,25170310"
25170420,"GIZZARD, COOKED",25170000,5,5,5,"25170000,25100000,25000000,2,0","25170000,25100000,25000000,2,0,25170420"
25210110,"FRANKFURTER OR HOT DOG, NFS",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210110"
25210120,"FRANKFURTER OR HOT DOG, BREADED, BAKED",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210120"
25210150,"FRANKFURTER OR HOT DOG, CHEESE-FILLED",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210150"
25210160,"FRANKFURTER OR HOT DOG, BACON & CHEESE-FILLED",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210160"
25210170,"FRANKFURTER OR HOT DOG, CHILI-FILLED",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210170"
25210210,"FRANKFURTER OR HOT DOG, BEEF",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210210"
25210220,"FRANKFURTER OR HOT DOG, BEEF AND PORK",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210220"
25210240,"FRANKFURTER OR HOT DOG, BEEF AND PORK, REDUCED FAT OR LIGHT",25210000,5,5,5,"25210000,25200000,25000000,2,0","25210000,25200000,25000000,2,0,25210240"
