category_number,drxfcsd,level,parent,max_level_by_num,max_level_skips,ancestors,branch
11000000,"milk, human",4,9602,4,4,"0,9602,9600,14","0,9602,9600,14,11000000"
11100000,"milk, nfs",4,1004,4,4,"0,1004,1000,1","0,1004,1000,1,11100000"
11111000,"milk, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11111000"
11111100,"milk, low sodium, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11111100"
11111150,"milk, calcium fortified, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11111150"
11111160,"milk, calcium fortified, low fat (1%)",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11111160"
11111170,"milk, calcium fortified, fat free (skim)",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11111170"
11112110,"milk, reduced fat (2%)",4,1004,4,4,"0,1004,1000,1","0,1004,1000,1,11112110"
11112120,"milk, acidophilus, low fat (1%)",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11112120"
11112130,"milk, acidophilus, reduced fat (2%)",4,1004,4,4,"0,1004,1000,1","0,1004,1000,1,11112130"
11112210,"milk, low fat (1%)",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11112210"
11113000,"milk, fat free (skim)",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11113000"
11114000,"milk, cow's, fluid, filled with vegetable oil, ns as to percent fat",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11114000"
11114100,"milk, cow's, fluid, filled with vegetable oil, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11114100"
11114200,"milk, cow's, fluid, filled with vegetable oil, lowfat",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11114200"
11114300,"milk, lactose free, low fat (1%)",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11114300"
11114310,"milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11114310"
11114320,"milk, lactose free, fat free (skim)",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11114320"
11114321,"milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11114321"
11114330,"milk, lactose free, reduced fat (2%)",4,1004,4,4,"0,1004,1000,1","0,1004,1000,1,11114330"
11114350,"milk, lactose free, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11114350"
11115000,"buttermilk, fat free (skim)",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11115000"
11115100,"buttermilk, low fat (1%)",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11115100"
11115200,"buttermilk, reduced fat (2%)",4,1004,4,4,"0,1004,1000,1","0,1004,1000,1,11115200"
11115300,"buttermilk, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11115300"
11115400,"kefir, ns as to fat content",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11115400"
11116000,"goat's milk, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11116000"
11120000,"milk, dry, reconstituted, ns as to fat content",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11120000"
11121100,"milk, dry, reconstituted, whole",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11121100"
11121210,"milk, dry, reconstituted, low fat (1%)",4,1006,4,4,"0,1006,1000,1","0,1006,1000,1,11121210"
11121300,"milk, dry, reconstituted, fat free (skim)",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11121300"
11122000,"buttermilk, dry, reconstituted",4,1008,4,4,"0,1008,1000,1","0,1008,1000,1,11122000"
11210050,"milk, evaporated, ns as to fat content",4,1002,4,4,"0,1002,1000,1","0,1002,1000,1,11210050"
